### This is file stripe82calibStars_v4.2.dat created on December 20, 2020.
###  
### This version (4.2) INCLUDES GAIA-BASED COLOR CORRECTIONS (EDR3).
### The version with only EDR3-based gray corrections is v4.1! 
### 
### A catalog of 991,472 standard stars from SDSS stripe 82.
###
### This catalog is a revised version of the catalog described in 
### Ivezic et al. 2007 (Astronomical Journal, 134, 973). The main 
### differences include:
### - due to additional SDSS data, about twice as many epochs are used 
###    in photometric averaging, resulting in about 30% smaller random 
###    photometric errors
### - systematic photometric zeropoint errors, as functions of RA and
###    Dec are estimated and corrected for using Gaia EDR3 photometry.
###
### Processing details and catalog analysis are discussed in 
###  Thanjavur et al. (2021). 
### 
### The selection steps for this catalog include: 
###  1) star is listed in the original 2007 catalog (v2.6)
###  2) the star remained non-variable (chi2 < 3 in gri); 
###  this version includes 98.5% stars from the original (v2.6) catalog
###
### There is one line per star, and each line lists (in this order):
###  0) every line starts with the string CALIBSTARS_ID, where ID is the
###     star's sequential listing number from the v2.6 catalog
###  1) RA Dec RArms Decrms: the mean position and its rms per coordinate,
###     this is J2000, decimal degrees for RA and Dec, and arcsec for rms
###     NB: standard errors can be computed as rms/sqrt(Ntot)
###  2) Ntot: the total number of epochs
###  3) Ar: the Schlegel, Finkbeiner & Davis (1998) ISM extinction value in 
###     the r band; extinction in other bands can be computed as [Rv=3.1]: 
###     Am = Cm*Ar, with Cm=(1.873, 1.377, 0.758, 0.537) for m=(ugiz) 
###  4) and then in each band (ugriz, in this order):
###       (Nobs mmed mmu msig mrms mchi2), which are: 
###       the total number of observations in this band
###       the median magnitude 
###       the mean magnitude
###       the standard error for the mean (1.25 larger for the median)
###       the root-mean-square scatter
###       chi2 per degree of freedom (computed using the mean magnitude)
### 
### **** IMPORTANT IMPORTANT IMPORTANT IMPORTANT IMPORTANT **** 
###  1) To select sources with reliable photometry in the u and z bands
###     don't forget to require Nobs >= 4
###  2) to avoid a slight bias (~0.02 mag) at the faint end in the gri  
###     bands, require msig*sqrt(Nobs) < 0.03 
### **** IMPORTANT IMPORTANT IMPORTANT IMPORTANT IMPORTANT **** 
### 
###  For more details, in case of problems, etc., send email to 
###  Karun Thanjavur (karun@uvic.ca) or Zeljko Ivezic (ivezic@uw.edu).
### 
CALIBSTARS_0000011  308.509407  -1.117215 0.0180 0.0180   8   0.532  3 22.028 22.018 0.140 0.017 0.069   8 19.043 19.037 0.006 0.016 1.113   8 17.632 17.634 0.004 0.010 0.547   8 17.038 17.038 0.005 0.010 0.631   8 16.688 16.694 0.006 0.018 0.913 
CALIBSTARS_0000012  308.510228  -1.168783 0.0119 0.0119   7   0.550  7 17.179 17.170 0.007 0.022 1.153   6 15.615 15.615 0.004 0.005 0.541   7 14.937 14.936 0.003 0.004 0.313   7 14.655 14.654 0.005 0.007 0.537   7 14.485 14.485 0.005 0.005 0.327 
CALIBSTARS_0000013  308.508202  -1.167295 0.0237 0.0237   8   0.551  7 20.366 20.387 0.023 0.103 1.653   6 18.406 18.402 0.006 0.007 0.498   7 17.545 17.549 0.004 0.007 0.566   7 17.184 17.184 0.006 0.007 0.303   7 16.951 16.943 0.007 0.016 0.793 
CALIBSTARS_0000014  308.510897  -1.072856 0.0220 0.0220   8   0.512  7 20.748 20.719 0.035 0.074 0.798   7 19.438 19.424 0.008 0.023 0.545   7 18.834 18.821 0.007 0.050 0.665   7 18.607 18.598 0.010 0.055 0.844   7 18.527 18.485 0.018 0.060 1.063 
CALIBSTARS_0000015  308.512024  -1.263168 0.0151 0.0151   7   0.591  6 18.346 18.344 0.009 0.014 0.514   6 16.792 16.792 0.004 0.010 0.938   6 16.119 16.121 0.004 0.005 0.480   6 15.849 15.853 0.005 0.030 2.712   6 15.696 15.697 0.006 0.016 0.923 
CALIBSTARS_0000016  308.511883  -1.217849 0.0160 0.0160   7   0.565  6 19.437 19.438 0.013 0.009 0.266   6 17.594 17.593 0.004 0.002 0.191   6 16.857 16.856 0.004 0.002 0.271   7 16.584 16.584 0.005 0.010 0.717   7 16.421 16.419 0.006 0.006 0.381 
CALIBSTARS_0000017  308.513011  -1.120582 0.0136 0.0136   8   0.532  8 19.031 19.033 0.010 0.022 0.814   7 17.667 17.663 0.004 0.005 0.452   7 17.098 17.098 0.004 0.004 0.453   8 16.855 16.857 0.004 0.009 0.724   8 16.723 16.724 0.006 0.009 0.492 
CALIBSTARS_0000018  308.517230  -1.230374 0.0240 0.0240   7   0.565  7 19.397 19.387 0.012 0.041 1.232   7 17.442 17.446 0.004 0.007 0.764   7 16.665 16.666 0.004 0.006 0.659   6 16.389 16.389 0.005 0.004 0.260   7 16.210 16.210 0.006 0.005 0.323 
CALIBSTARS_0000019  308.513465  -1.094427 0.0076 0.0076   8   0.519  3 23.694 23.669 0.308 0.157 0.252   7 20.622 20.628 0.011 0.015 0.485   8 19.129 19.124 0.005 0.017 1.031   8 18.329 18.335 0.005 0.011 0.719   6 17.874 17.874 0.010 0.005 0.211 
CALIBSTARS_0000020  308.522416  -1.207148 0.0396 0.0396   7   0.553  7 18.768 18.775 0.009 0.014 0.576   6 17.420 17.420 0.004 0.001 0.094   7 16.801 16.800 0.004 0.006 0.523   7 16.530 16.533 0.005 0.011 0.799   5 16.380 16.381 0.007 0.002 0.107 
CALIBSTARS_0000021  308.522611  -1.205683 0.0205 0.0205   7   0.552  7 21.596 21.560 0.089 0.184 0.684   7 20.014 20.002 0.025 0.033 0.133   5 19.212 19.192 0.017 0.001 0.002   6 18.877 18.887 0.021 0.009 0.033   7 18.666 18.662 0.039 0.037 0.285 
